Device,Telco,Rate plan,RRP,Device monthly,Plan monthly,Gross monthly,Total cost of ownership,Months,Select plan Range,summary RM58 plan,,,,summary RM88 plan,,
iPhone 16 512GB,Telco M,Telco M Postpaid 199,"5,499",118,199,317,"11,412",36,> RM150 plan,Save up to,"RM3,024",with Yes 5G,,,,
iPhone 16 Plus 128GB,Yes 5G,Infinite+ Basic 58,"4,499",111,58,169,"6,084",36,< RM100 plan,,,,,,,
iPhone 16 Plus 128GB,Yes 5G,Infinite+ Standard 88,"4,499",93,88,181,"6,516",36,< RM100 plan,,,,,,,
iPhone 16 Plus 128GB,Telco U,U Postpaid 68,"4,499",113,68,181,"6,516",36,< RM100 plan,Save up to,RM432,with Yes 5G,,,,
iPhone 16 Plus 128GB,Telco U,U Postpaid 98,"4,499",103,98,201,"7,236",36,< RM100 plan,Save up to,"RM1,152",with Yes 5G,,,,
iPhone 16 Plus 128GB,Telco CD,Postpaid 5G 100,"4,499",113,90,203,"7,308",36,< RM100 plan,Save up to,"RM1,224",with Yes 5G,,,,
iPhone 16 Plus 128GB,Yes 5G,Infinite+ Premium 118,"4,499",73,118,191,"6,876",36,RM101 - RM149 plan,,,,,,,
iPhone 16 Plus 128GB,Telco CD,Postpaid 5G 120,"4,499",101,110,211,"7,596",36,RM101 - RM149 plan,Save up to,RM720,with Yes 5G,,,,
iPhone 16 Plus 128GB,Telco M,Telco M Postpaid 109,"4,499",113,109,222,"7,992",36,RM101 - RM149 plan,Save up to,"RM1,116",with Yes 5G,,,,
iPhone 16 Plus 128GB,Telco CD,Postpaid 5G 140,"4,499",99,130,229,"8,244",36,RM101 - RM149 plan,Save up to,"RM1,368",with Yes 5G,,,,
iPhone 16 Plus 128GB,Telco M,Telco M Postpaid 139,"4,499",99,139,238,"8,568",36,RM101 - RM149 plan,Save up to,"RM1,692",with Yes 5G,,,,
iPhone 16 Plus 128GB,Yes 5G,Infinite+ Ultra 178,"4,499",29,178,207,"7,452",36,> RM150 plan,,,,,,,
iPhone 16 Plus 128GB,Telco CD,Postpaid 5G 160,"4,499",97,150,247,"8,892",36,> RM150 plan,Save up to,"RM1,440",with Yes 5G,,,,
iPhone 16 Plus 128GB,Telco M,Telco M Postpaid 169,"4,499",96,169,265,"9,540",36,> RM150 plan,Save up to,"RM2,088",with Yes 5G,,,,
iPhone 16 Plus 128GB,Telco M,Telco M Postpaid 199,"4,499",93,199,292,"10,512",36,> RM150 plan,Save up to,"RM3,060",with Yes 5G,,,,
iPhone 16 Plus 256GB,Yes 5G,Infinite+ Basic 58,"4,999",123,58,181,"6,516",36,< RM100 plan,,,,,,,
iPhone 16 Plus 256GB,Yes 5G,Infinite+ Standard 88,"4,999",105,88,193,"6,948",36,< RM100 plan,,,,,,,
iPhone 16 Plus 256GB,Telco U,U Postpaid 68,"4,999",126,68,194,"6,984",36,< RM100 plan,Save up to,RM468,with Yes 5G,,,,
iPhone 16 Plus 256GB,Telco U,U Postpaid 98,"4,999",116,98,214,"7,704",36,< RM100 plan,Save up to,"RM1,188",with Yes 5G,,,,
iPhone 16 Plus 256GB,Telco CD,Postpaid 5G 100,"4,999",126,90,216,"7,776",36,< RM100 plan,Save up to,"RM1,260",with Yes 5G,,,,
iPhone 16 Plus 256GB,Yes 5G,Infinite+ Premium 118,"4,999",86,118,204,"7,344",36,RM101 - RM149 plan,,,,,,,
iPhone 16 Plus 256GB,Telco CD,Postpaid 5G 120,"4,999",114,110,224,"8,064",36,RM101 - RM149 plan,Save up to,RM720,with Yes 5G,,,,
iPhone 16 Plus 256GB,Telco M,Telco M Postpaid 109,"4,999",126,109,235,"8,460",36,RM101 - RM149 plan,Save up to,"RM1,116",with Yes 5G,,,,
iPhone 16 Plus 256GB,Telco CD,Postpaid 5G 140,"4,999",111,130,241,"8,676",36,RM101 - RM149 plan,Save up to,"RM1,332",with Yes 5G,,,,
iPhone 16 Plus 256GB,Telco M,Telco M Postpaid 139,"4,999",112,139,251,"9,036",36,RM101 - RM149 plan,Save up to,"RM1,692",with Yes 5G,,,,
iPhone 16 Plus 256GB,Yes 5G,Infinite+ Ultra 178,"4,999",42,178,220,"7,920",36,> RM150 plan,,,,,,,
iPhone 16 Plus 256GB,Telco CD,Postpaid 5G 160,"4,999",109,150,259,"9,324",36,> RM150 plan,Save up to,"RM1,404",with Yes 5G,,,,
iPhone 16 Plus 256GB,Telco M,Telco M Postpaid 169,"4,999",109,169,278,"10,008",36,> RM150 plan,Save up to,"RM2,088",with Yes 5G,,,,
iPhone 16 Plus 256GB,Telco M,Telco M Postpaid 199,"4,999",106,199,305,"10,980",36,> RM150 plan,Save up to,"RM3,060",with Yes 5G,,,,
iPhone 16 Plus 512GB,Yes 5G,Infinite+ Basic 58,"5,999",149,58,207,"7,452",36,< RM100 plan,,,,,,,
iPhone 16 Plus 512GB,Yes 5G,Infinite+ Standard 88,"5,999",131,88,219,"7,884",36,< RM100 plan,,,,,,,
iPhone 16 Plus 512GB,Telco U,U Postpaid 68,"5,999",151,68,219,"7,884",36,< RM100 plan,Save up to,RM432,with Yes 5G,,,,
iPhone 16 Plus 512GB,Telco U,U Postpaid 98,"5,999",141,98,239,"8,604",36,< RM100 plan,Save up to,"RM1,152",with Yes 5G,,,,
iPhone 16 Plus 512GB,Telco CD,Postpaid 5G 100,"5,999",151,90,241,"8,676",36,< RM100 plan,Save up to,"RM1,224",with Yes 5G,,,,
iPhone 16 Plus 512GB,Yes 5G,Infinite+ Premium 118,"5,999",111,118,229,"8,244",36,RM101 - RM149 plan,,,,,,,
iPhone 16 Plus 512GB,Telco CD,Postpaid 5G 120,"5,999",139,110,249,"8,964",36,RM101 - RM149 plan,Save up to,RM720,with Yes 5G,,,,
iPhone 16 Plus 512GB,Telco M,Telco M Postpaid 109,"5,999",151,109,260,"9,360",36,RM101 - RM149 plan,Save up to,"RM1,116",with Yes 5G,,,,
iPhone 16 Plus 512GB,Telco CD,Postpaid 5G 140,"5,999",137,130,267,"9,612",36,RM101 - RM149 plan,Save up to,"RM1,368",with Yes 5G,,,,
iPhone 16 Plus 512GB,Telco M,Telco M Postpaid 139,"5,999",137,139,276,"9,936",36,RM101 - RM149 plan,Save up to,"RM1,692",with Yes 5G,,,,
iPhone 16 Plus 512GB,Yes 5G,Infinite+ Ultra 178,"5,999",67,178,245,"8,820",36,> RM150 plan,,,,,,,
iPhone 16 Plus 512GB,Telco CD,Postpaid 5G 160,"5,999",134,150,284,"10,224",36,> RM150 plan,Save up to,"RM1,404",with Yes 5G,,,,
iPhone 16 Plus 512GB,Telco M,Telco M Postpaid 169,"5,999",134,169,303,"10,908",36,> RM150 plan,Save up to,"RM2,088",with Yes 5G,,,,
iPhone 16 Plus 512GB,Telco M,Telco M Postpaid 199,"5,999",131,199,330,"11,880",36,> RM150 plan,Save up to,"RM3,060",with Yes 5G,,,,
iPhone 16 Pro 128GB,Yes 5G,Infinite+ Basic 58,"4,999",123,58,181,"6,516",36,< RM100 plan,,,,,,,
iPhone 16 Pro 128GB,Yes 5G,Infinite+ Standard 88,"4,999",105,88,193,"6,948",36,< RM100 plan,,,,,,,
iPhone 16 Pro 128GB,Telco U,U Postpaid 68,"4,999",126,68,194,"6,984",36,< RM100 plan,Save up to,RM468,with Yes 5G,,,,
iPhone 16 Pro 128GB,Telco U,U Postpaid 98,"4,999",116,98,214,"7,704",36,< RM100 plan,Save up to,"RM1,188",with Yes 5G,,,,
iPhone 16 Pro 128GB,Telco CD,Postpaid 5G 100,"4,999",126,90,216,"7,776",36,< RM100 plan,Save up to,"RM1,260",with Yes 5G,,,,
iPhone 16 Pro 128GB,Yes 5G,Infinite+ Premium 118,"4,999",86,118,204,"7,344",36,RM101 - RM149 plan,,,,,,,
iPhone 16 Pro 128GB,Telco CD,Postpaid 5G 120,"4,999",114,110,224,"8,064",36,RM101 - RM149 plan,Save up to,RM720,with Yes 5G,,,,
iPhone 16 Pro 128GB,Telco M,Telco M Postpaid 109,"4,999",126,109,235,"8,460",36,RM101 - RM149 plan,Save up to,"RM1,116",with Yes 5G,,,,
iPhone 16 Pro 128GB,Telco CD,Postpaid 5G 140,"4,999",111,130,241,"8,676",36,RM101 - RM149 plan,Save up to,"RM1,332",with Yes 5G,,,,
iPhone 16 Pro 128GB,Telco M,Telco M Postpaid 139,"4,999",112,139,251,"9,036",36,RM101 - RM149 plan,Save up to,"RM1,692",with Yes 5G,,,,
iPhone 16 Pro 128GB,Yes 5G,Infinite+ Ultra 178,"4,999",36,178,214,"7,704",36,> RM150 plan,,,,,,,
iPhone 16 Pro 128GB,Telco CD,Postpaid 5G 160,"4,999",109,150,259,"9,324",36,> RM150 plan,Save up to,"RM1,620",with Yes 5G,,,,
iPhone 16 Pro 128GB,Telco M,Telco M Postpaid 169,"4,999",109,169,278,"10,008",36,> RM150 plan,Save up to,"RM2,304",with Yes 5G,,,,
